" JWST June 2021 Working Commissioning Timeline ",,,,,,,,
,,,,,,,,
"Cooldown Profile: BPlot_All_metrics_LA13B_v5.5t18d-C_PH_V4_CC state4 at 82 days.xlsx",,,,,,,,
"CAR #",,"CAR Title"," MET Start",,"Duration",,"MET End",
"0","41","Switch from External Power to Internal ",-15.00,"min",1.00,"min",-14.00,"min"
"40","41","H0",0.00,"min",0.12,"min",0.12,"min"
"41",,"EAP Ignition (H0 + 7.05s)",0.12,"min",0.00,"min",0.12,"min"
"42","41","Liftoff",0.12,"min",0.50,"min",0.62,"min"
"734","41","H1 (LV Acceleration Threshold Detection)",2.35,"min",0.50,"min",2.85,"min"
"43","41","EAP Separation (H1 + 0.78s)",2.37,"min",0.10,"min",2.47,"min"
"891.01",,"Alarm Limit Transition #1 (Prior to Fairing Separation)",2.47,"min",1.00,"min",3.47,"min"
"44","41","K1 (Fairing Jettison)",3.40,"min",0.10,"min",3.50,"min"
"45","41","Issue Discrete Cmd 1 (K1 + 27s)",3.85,"min",0.01,"min",3.86,"min"
"46","41","Issue Discrete Cmd 2 (K1 + 27.1s)",3.85,"min",0.02,"min",3.87,"min"
"275",,"Ascent SCS",3.85,"min",13.55,"min",17.40,"min"
"128","275","Turn ON S-band Xmtr 2",3.92,"min",0.10,"min",4.02,"min"
"129","275","Turn ON all Catbed heaters",3.92,"min",0.10,"min",4.02,"min"
"1","275","H2 (End of main thrust phase of EPC)",8.72,"min",0.02,"min",8.74,"min"
"735","275","EPC Separation (H2 + 6s)",7.82,"min",0.02,"min",7.84,"min"
"2","275","K2 ESC-A Ignition",8.89,"min",0.16,"min",9.05,"min"
"130","275","Turn ON FSS-1, SIRU-1A, 2A",17.30,"min",0.10,"min",17.40,"min"
"891.02",,"Alarm Limit Transition #2 (Post ACS Turn ON)",17.40,"min",1.00,"min",18.40,"min"
"263","275","H3 ESC-A Shutdown",24.97,"min",0.01,"min",24.98,"min"
"3","275","H4.1 LV Separation",27.10,"min",0.01,"min",27.11,"min"
"274",,"Separation SCS",30.00,"min",20.00,"min",50.00,"min"
"927",,"Establish Command and Control on TDRSS",30.00,"min",1.00,"min",31.00,"min"
"336","274","Power ON VDE-1",30.01,"min",1.00,"min",31.01,"min"
"4","274","Prepare to damp rates via thrusters",30.01,"min",1.00,"min",31.01,"min"
"131","274","Damp Rates (Via Thrusters) - ACS to Sun/Rate control",30.15,"min",2.30,"min",32.45,"min"
"5","274","Solar Array Deployment",31.00,"min",2.00,"min",33.00,"min"
"682","274","Release SC LRM GRP-02A/B, Solar Array Release SOLAR ARRAY -J3, Group = 2",31.00,"min",2.00,"min",33.00,"min"
"683","274","Release SC LRM GRP-01A/B, Solar Array Release SOLAR ARRAY +J3, Group = 2 ",31.00,"min",2.00,"min",33.00,"min"
"874.01",,"Transition to Malindi",35.00,"min",5.00,"min",40.00,"min"
"6","274","Start Attitude Control (RCS Sun point attitude)",35.50,"min",3.65,"min",39.15,"min"
"27",,"Configure for 4K downlink & 2K uplink",40.00,"min",7.00,"min",47.00,"min"
"277","274","Release OTE LRM GRP-10A/B, ADIR Part 1 Release ",45.00,"min",0.10,"min",45.10,"min"
"697","274","Power ON Sunshield deployment and SC bus heaters",45.10,"min",2.00,"min",47.10,"min"
"271","274","Set TCS Relay Mode to Normal",45.10,"min",0.00,"min",45.10,"min"
"272","274","Set TCS HDE Mode to Operational",45.10,"min",0.00,"min",45.10,"min"
"132","274","Reconfigure Catbed Heaters",45.00,"min",0.10,"min",45.10,"min"
"273","274","Command SFSW to Cooldown Mode",46.00,"min",0.10,"min",46.10,"min"
"10","274","ADU Power ON & Configure to Operate Mode",46.60,"min",1.00,"min",47.60,"min"
"11",,"Initiate Ranging",47.00,"min",3.00,"min",50.00,"min"
"276","274","Turn ON WDE",49.00,"min",1.00,"min",50.00,"min"
"30","274","FSM Heater Activation",56.00,"min",0.10,"min",56.10,"min"
"7",,"Set SA Deployed Relay",57.00,"min",14.00,"min",71.00,"min"
"379","7","EPS Breakwire Override",71.00,"min",1.00,"min",72.00,"min"
"896",,"LV Sep Auto-Transition Timer",72.00,"min",10.00,"min",82.00,"min"
"915",,"Disable GAA Deadman SCS",82.00,"min",4.00,"min",86.00,"min"
"902",,"Separation Vector Uplink",86.00,"min",9.00,"min",95.00,"min"
"13.1",,"Star Tracker Power ON and Checkout",95.00,"min",5.00,"min",100.00,"min"
"13.1",,"Star Tracker Power ON and Checkout - Analysis",100.00,"min",120.00,"min",220.00,"min"
"278",,"Transition to DSN Canberra & Configure for 40K downlink",114.00,"min",8.00,"min",122.00,"min"
"891.03",,"Alarm Limit Transition #3 (At First DSN Contact)",122.00,"min",2.00,"min",124.00,"min"
"23.1",,"Update Command Lockout Timer (part 1)",124.00,"min",6.00,"min",130.00,"min"
"854",,"Ox Priming",130.00,"min",4.00,"min",134.00,"min"
"842",,"Ephemeris Table Check & Upload",0.13,"day",0.75,"hr",0.16,"day"
"13.2",,"Star Tracker power ON & Checkout",0.16,"day",0.08,"hr",0.17,"day"
"891.04",,"Alarm Limit Transition #4 (Post STA Checkout)",0.17,"day",0.03,"hr",0.18,"day"
"15",,"SCAT Test Burn (burn at L+7 hours)",0.17,"day",4.00,"hr",0.33,"day"
"874.02",,"Transition to Malindi & Configure for 4K downlink",0.18,"day",0.17,"hr",0.19,"day"
"888",,"Transition to DSN Madrid & Configure for 40K downlink",0.25,"day",0.17,"hr",0.26,"day"
"16",,"MCC-1a (burn at L+12.5h)",0.35,"day",6.50,"hr",0.63,"day"
"921",,"Goldstone Ground Station Transition",0.56,"day",0.10,"hr",0.57,"day"
"891.05",,"Alarm Limit Transition #5 (Post MCC-1a)",0.63,"day",0.08,"hr",0.63,"day"
"916.1",,"Higher Bus Voltage for Deployments",0.64,"day",0.67,"hr",0.66,"day"
"17",,"Targeted S-band PB of MCC-1a Data",0.67,"day",1.00,"hr",0.71,"day"
"884",,"Upload & Activate No-Burn Ephemeris and DSN Contact Schedule for GAA Active Pointing",0.85,"day",1.50,"hr",0.91,"day"
"856",,"L&EO Clock Correlation",0.90,"day",0.20,"hr",0.91,"day"
"23.2",,"Update Command Lockout Timer (part 2)",0.92,"day",0.10,"hr",0.92,"day"
"335","HEADER","BAGA Initial Move",1.00,"day",0.50,"hr",1.02,"day"
