CAR       ,PID  ,Title                         ,Talloc, PI        ,Group_Label         ,Obs    ,Obs_Label ,Target    ,Template  ,Detector,Subarray      ,Mosaics ,Dither_Type         ,Dithers ,Nexp    ,Filter  ,RdOut   ,Ints    ,Grps    ,DGAA        ,SRdOut  ,SInts   ,SGrps   ,DGAB        ,LRdOut  ,LInts   ,LGrps   ,t_sci   ,t_cha   ,eff     ,obs_no  ,t_sci_obs,t_cha_obs,
MIR-002   ,1011 ,MIRI Focal Plane System Cold C,  1.00, Ressler   ,CAR-MIRI-002 Focal P,     2 ,Focal plan,      NONE,  MiriDark,     ALL,          FULL,       1,                NONE,       1,       1,  OPAQUE,  FASTR1,       1,      30,          ..,  FASTR1,       1,      30,          ..,  FASTR1,       1,      30,    0.02,    0.12,    0.17,       2,      84,     448,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  OPAQUE,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F1000W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F1130W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F1280W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,   P750L,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F1500W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F1800W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,  F2100W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,   F560W,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
MIR-004   ,1012 ,MIRI Calibration Lamp Operatio,  3.20, Glasse    ,Imager Calibration L,     2 ,Imager Cal,      NONE,MiriExternalFlat,  IMAGER,          FULL,       1,               false,       1,       1,   FLENS,    FAST,       5,      10,          ..,      ..,       0,       0,          ..,      ..,       0,       0,    1.66,    3.18,    0.52,       2,    2502,    4731,
