# ID,Title,Lead,colour,,,,,,
# source 1..n_sources,,,,,,,,,
CAP-101,Trending v Ground,             BOS,yellowgreen,,,,,,
sources,MIR-001.2,MIR-014,MIR-071.3,MIR-002,MIR-040,MIR-041,MIR-004,MIR-005.1,MIR-060,MIR-065
CAP-201,MIRIM flat field,              DET,lawngreen,,,,,,
sources,MIR-004,MIR-007,MIR-053,MIR-060,MIR-072,MIR-073.1,,,
CAP-202-I,Imager/coro photo-\nmetry/sensitivity,MGM,limegreen,,,,,,
sources,MIR-011.1,MIR-012,MIR-073.1,MIR-073.2,,,,,
CAP-202-II,Imager phot.\nupdate,       MGM,forestgreen,,,,,,
sources,MIR-011.2,,,,,,,,
CAP-301,LRS wavelength\ncalibration,   KEN,darkviolet,,,,,,
sources,MIR-013,MIR-076,,,,,,,
CAP-302,LRS SRF/sensitivity,           JER,mediumorchid,,,,,,
sources,MIR-073.1,MIR-018,MIR-017,,,,,,
CAP-303,LRS flat field,                DET,slateblue,,,,,,
sources,MIR-004,MIR-007,MIR-018,MIR-072,MIR-073.1,MIR-074,MIR-055,MIR-075,
CAP-304,LRS PSF,                       KEN,indigo,,,,,,
sources,MIR-018,MIR-074,,,,,,,
CAP-305,LRS throughput,                KEN,dodgerblue,,,,,,
sources,MIR-013,MIR-018,,,,,,,
CAP-401,MRS distortion\nand wave. cal.,LAB,indianred,,,,,,
sources,MIR-007,MIR-015,MIR-061,MIR-063,,,,,
CAP-403,MRS fringe\ncorrection,        YAN,firebrick,,,,,,
sources,MIR-015,MIR-061,MIR-063,MIR-064.1,,,,,
CAP-404,MRS in-field\nstraylight,      AMG,tomato,,,,,,
sources,MIR-016,MIR-061,MIR-064.1,,,,,,
CAP-405-I,MRS SRF,                     VAN,orangered,,,,,,
sources,MIR-061,MIR-064.1,,,,,,,
CAP-405-II,MRS SRF update,             VAN,coral,,,,,,
sources,MIR-064.2,,,,,,,,
CAP-406,MRS dither\ncheckout,          LAW,lightcoral,,,,,,
sources,OTE-34.2,OTE-35,MIR-007,,,,,,
CAP-407,MRS glints,                    MUE,crimson,,,,,,
sources,MIR-007,FGS-17.3,,,,,,,
CAP-408,MRS PSF,                       ALV,red,,,,,,
sources,MIR-007,MIR-063,,,,,,,
CAP-501,Coro null location,            COS,chocolate,,,,,,
sources,MIR-051,,,,,,,,
CAP-502,Coro contrast,                 COS,sienna,,,,,,
sources,OTE-34.2,MIR-050,MIR-058.1,MIR-058.2,,,,,,
CAP-503,Coro flat field,               DET,sandybrown,,,,,,
sources,MIR-056,,,,,,,,
CAP-504,Coro TA,                       HIN,peru,,,,,,
sources,MIR-078,,,,,,,,
CAP-601,Parallel operations,           GLA,dodgerblue,,,,,,
sources,NIS-16,STL-002,MIR-007,,,,,,
CAP-102,Update RTS Ref\nfiles,         MOR,steelblue,,,,,,
sources,MIR-004,MIR-014,MIR-060,MIR-065,,,,,
CAP-103,MIRIM distortion\ntransforms,  GLA,turquoise,,,,,,
sources,OTE-34.2,MIR-007,,,,,,,
CAP-104,Bright target\nperformance,    DAD,gold,,,,,,
sources,MIR-005.1,MIR-016,MIR-052,MIR-077,,,,,
CAP-105,Detector scattering,           GUI,lightseagreen,,,,,,
sources,MIR-012,MIR-015,MIR-016,,,,,,
CAP-106,Stray and\nscattered light,    GLA,teal,,,,,,
sources,MIR-016,FGS-17.3,,,,,,,
CAP-107,MRS/LRS TA,                    GLA,olive,,,,,,
sources,MIR-013,,,,,,,,
CAP-108,MRS/LRS cross\nchecks,         KEN,fuchsia,,,,,,
sources,CAP-302,CAP-405-I,,,,,,,
CAP-109,PCE updates,                   GLA,brown,,,,,,
sources,CAP-202-I,CAP-302,CAP-405-I,,,,,,
